,0
0,76
1,80
2,81
3,121
4,146
5,177
6,178
7,180
8,281
9,282
10,283
11,342
12,380
13,381
14,385
15,448
16,481
17,605
18,622
19,652
20,653
21,691
22,699
23,705
24,711
25,712
26,714
27,738
28,744
29,784
30,851
31,856
32,857
33,867
34,875
35,893
36,897
37,911
38,959
39,964
40,970
41,990
42,991
43,997
44,1053
45,1054
46,1085
47,1086
48,1087
49,1088
50,1092
51,1093
52,1098
53,1099
54,1101
55,1104
56,1105
57,1106
58,1108
59,1109
60,1110
61,1147
62,1149
63,1154
64,1172
65,1178
66,1203
67,1211
68,1212
69,1213
70,1224
71,1257
72,1258
73,1260
74,1270
75,1473
76,1475
77,1511
78,1528
79,1532
80,1560
81,1581
82,1586
83,1600
84,1602
85,1603
86,1604
87,1614
88,1691
89,1747
90,1750
91,1752
92,1753
93,1755
94,1776
95,1778
96,1813
97,1820
98,1822
99,1857
100,1859
101,1860
102,1903
103,1912
104,1930
105,1943
106,1948
107,1956
108,1959
109,2084
110,2087
111,2088
112,2092
113,2096
114,2143
115,2162
116,2165
117,2247
118,2272
119,2273
120,2295
121,2317
122,2340
123,2369
124,2377
125,2384
126,2473
127,2509
128,2511
129,2512
130,2515
131,2538
132,2544
133,2546
134,2560
135,2563
136,2566
137,2617
138,2619
139,2620
140,2643
141,2645
142,2652
143,2675
144,2703
145,2716
146,2751
147,2767
148,2768
149,2781
150,2810
151,2824
152,2829
153,2834
154,2838
155,2852
156,2859
157,2868
158,2882
159,2916
160,2961
161,2964
162,2966
163,3016
164,3048
165,3095
166,3098
167,3099
168,3166
169,3261
170,3284
171,3301
172,3302
173,3307
174,3341
175,3347
176,3363
177,3384
178,3394
179,3418
180,3419
181,3424
182,3425
183,3466
184,3508
185,3524
186,3525
187,3527
188,3546
189,3556
190,3557
191,3558
192,3560
193,3561
194,3562
195,3563
196,3570
197,3614
198,3618
199,3621
200,3635
201,3662
202,3663
203,3671
204,3672
205,3828
206,3830
207,3831
208,3833
209,3834
210,3835
211,3848
212,3856
213,3858
214,3867
215,3892
216,3936
217,3964
218,3969
219,3993
220,3995
221,3996
222,3997
223,4004
224,4007
225,4023
226,4039
227,4044
228,4045
229,4047
230,4055
231,4057
232,4115
233,4116
234,4117
235,4118
236,4122
237,4163
238,4171
239,4271
240,4273
241,4404
242,4449
243,4451
244,4459
245,4460
246,4494
247,4507
248,4534
249,4542
250,4642
251,4697
252,4832
253,4840
254,4845
255,4858
256,4866
257,4880
258,4881
259,4899
260,4910
261,4930
262,4935
263,4960
264,4964
265,4970
266,4981
267,4982
268,5009
269,5045
270,5046
271,5082
272,5108
273,5110
274,5111
275,5164
276,5193
277,5195
278,5233
279,5249
280,5251
281,5294
282,5347
283,5352
284,5354
285,5396
286,5414
287,5440
288,5441
289,5442
290,5464
291,5472
292,5479
293,5480
294,5481
295,5523
296,5574
297,5576
298,5577
299,5580
300,5581
301,5583
302,5631
303,5652
304,5665
305,5679
306,5680
307,5681
308,5739
309,5740
310,5742
311,5746
312,5775
313,5796
314,5841
315,5846
316,5849
317,5850
318,5860
319,5886
320,5889
321,5896
322,5925
323,5976
324,5979
325,6015
326,6031
327,6036
328,6156
329,6176
330,6182
331,6183
332,6192
333,6193
334,6219
335,6223
336,6250
337,6251
338,6264
339,6283
340,6332
341,6396
342,6397
343,6404
344,6410
345,6451
346,6458
347,6508
348,6518
349,6559
350,6572
351,6574
352,6578
353,6579
354,6580
355,6581
356,6616
357,6782
358,6783
359,6785
360,6787
361,6793
362,6816
363,6848
364,6861
365,6868
366,6871
367,6887
368,6892
369,6895
370,6896
371,6898
372,6902
373,6905
374,6931
375,6955
376,6974
377,7019
378,7023
379,7061
380,7062
381,7064
382,7069
383,7083
384,7177
385,7181
386,7187
387,7190
388,7195
389,7199
390,7227
391,7237
392,7307
393,7320
394,7355
395,7385
396,7389
397,7397
398,7414
399,7430
400,7441
401,7448
402,7489
403,7493
404,7500
405,7510
406,7511
407,7517
408,7518
409,7663
410,7671
411,7689
