,0
0,0
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,51
50,52
51,53
52,56
53,59
54,61
55,63
56,64
57,65
58,66
59,67
60,69
61,73
62,74
63,79
64,80
65,81
66,83
67,85
68,86
69,87
70,88
71,89
72,90
73,91
74,92
75,93
76,94
77,95
78,96
79,97
80,98
81,100
82,102
83,103
84,104
85,106
86,107
87,109
88,110
89,111
90,112
91,113
92,114
93,115
94,116
95,117
96,119
97,120
98,121
99,122
100,123
101,124
102,125
103,126
104,127
105,128
106,129
107,130
108,131
109,132
110,133
111,134
112,135
113,136
114,137
115,138
116,140
117,141
118,142
119,143
120,145
121,146
122,147
123,148
124,149
125,150
126,151
127,152
128,153
129,154
130,155
131,156
132,158
133,160
134,161
135,162
136,164
137,165
138,166
139,167
140,176
141,178
142,179
143,180
144,181
145,182
146,185
147,186
148,187
149,188
150,189
151,190
152,191
153,192
154,193
155,195
156,196
157,197
158,198
159,199
160,200
161,201
162,202
163,203
164,204
165,205
166,206
167,207
168,208
169,209
170,210
171,211
172,212
173,213
174,214
175,215
176,216
177,217
178,220
179,221
180,222
181,223
182,224
183,225
184,228
185,229
186,230
187,231
188,232
189,233
190,234
191,235
192,236
193,237
194,238
195,239
196,240
197,241
198,242
199,243
200,244
201,245
202,246
203,247
204,249
205,250
206,253
207,254
208,255
209,256
210,257
211,258
212,259
213,260
214,261
215,262
216,264
217,265
218,266
219,267
220,268
221,269
222,270
223,271
224,272
225,273
226,275
227,276
228,277
229,280
230,281
231,283
232,284
233,285
234,286
235,291
236,292
237,293
238,294
239,295
240,296
241,297
242,298
243,299
244,300
245,301
246,302
247,304
248,305
249,306
250,307
251,308
252,309
253,310
254,311
255,312
256,313
257,314
258,315
259,316
260,318
261,319
262,320
263,321
264,322
265,323
266,324
267,325
268,326
269,327
270,328
271,329
272,330
273,332
274,334
275,336
276,337
277,338
278,339
279,341
280,342
281,343
282,344
283,345
284,346
285,347
286,348
287,349
288,350
289,351
290,353
291,354
292,356
293,357
294,359
295,360
296,361
297,362
298,363
299,365
300,366
301,367
302,368
303,369
304,370
305,371
306,372
307,373
308,374
309,376
310,379
311,380
312,381
313,383
314,384
315,385
316,386
317,387
318,388
319,389
320,390
321,391
322,392
323,393
324,394
325,395
326,396
327,397
328,398
329,399
330,400
331,401
332,402
333,403
334,404
335,406
336,407
337,408
338,409
339,410
340,412
341,413
342,414
343,415
344,416
345,417
346,418
347,419
348,420
349,421
350,422
351,423
352,424
353,425
354,426
355,427
356,428
357,429
358,430
359,431
360,432
361,433
362,434
363,435
364,436
365,437
366,438
367,439
368,440
369,441
370,442
371,443
372,444
373,445
374,446
375,450
376,451
377,452
378,453
379,454
380,455
381,457
382,459
383,460
384,461
385,462
386,463
387,464
388,465
389,466
390,467
391,468
392,469
393,471
394,472
395,473
396,474
397,475
398,476
399,477
400,478
401,481
402,482
403,483
404,484
405,485
406,487
407,488
408,493
409,494
410,495
411,498
412,500
413,503
414,504
415,505
416,506
417,507
418,508
419,509
420,510
421,511
422,512
423,513
424,514
425,516
426,517
427,519
428,522
429,524
430,531
431,534
432,535
433,537
434,538
435,539
436,540
437,541
438,542
439,543
440,544
441,545
442,549
443,551
444,552
445,553
446,554
447,555
448,556
449,557
450,558
451,559
452,560
453,561
454,562
455,563
456,564
457,565
458,567
459,568
460,569
461,570
462,571
463,572
464,574
465,575
466,576
467,577
468,578
469,579
470,580
471,581
472,582
473,583
474,584
475,585
476,586
477,587
478,588
479,589
480,590
481,591
482,592
483,593
484,594
485,595
486,596
487,597
488,598
489,599
490,600
491,601
492,602
493,603
494,604
495,605
496,606
497,608
498,609
499,611
500,613
501,615
502,616
503,617
504,618
505,619
506,621
507,622
508,623
509,624
510,625
511,626
512,627
513,629
514,631
515,632
516,633
517,634
518,635
519,636
520,637
521,638
522,639
523,640
524,641
525,642
526,643
527,644
528,645
529,646
530,647
531,648
532,649
533,650
534,651
535,652
536,653
537,654
538,655
539,656
540,657
541,658
542,659
543,660
544,663
545,664
546,665
547,666
548,667
549,668
550,669
551,670
552,671
553,672
554,673
555,674
556,675
557,676
558,677
559,678
560,680
561,681
562,682
563,683
564,684
565,685
566,686
567,687
568,688
569,689
570,690
571,691
572,692
573,693
574,694
575,695
576,697
577,698
578,699
579,700
580,701
581,702
582,703
583,705
584,706
585,707
586,709
587,710
588,711
589,712
590,713
591,719
592,720
593,721
594,722
595,723
596,724
597,725
598,727
599,731
600,733
601,734
602,735
603,736
604,741
605,742
606,743
607,744
608,746
609,747
610,748
611,749
612,750
613,751
614,752
615,756
616,757
617,758
618,760
619,761
620,763
621,764
622,765
623,766
624,767
625,768
626,769
627,770
628,771
629,773
630,774
631,775
632,778
633,779
634,780
635,781
636,782
637,786
638,787
639,788
640,789
641,790
642,791
643,792
644,793
645,794
646,795
647,796
648,797
649,799
650,801
651,802
652,803
653,804
654,805
655,806
656,807
657,808
658,809
659,810
660,811
661,812
662,813
663,814
664,815
665,816
666,818
667,819
668,820
669,821
670,822
671,823
672,824
673,825
674,826
675,827
676,828
677,829
678,830
679,831
680,832
681,833
682,834
683,835
684,836
685,839
686,841
687,843
688,844
689,845
690,848
691,849
692,850
693,853
694,855
695,858
696,859
697,860
698,861
699,862
700,863
701,864
702,865
703,868
704,869
705,870
706,871
707,872
708,874
709,875
710,877
711,878
712,879
713,881
714,882
715,884
716,885
717,886
718,887
719,888
720,889
721,890
722,891
723,893
724,895
725,897
726,898
727,900
728,901
729,902
730,903
731,904
732,905
733,906
734,907
735,909
736,910
737,911
738,913
739,914
740,915
741,916
742,917
743,918
744,919
745,920
746,921
747,922
748,923
749,924
750,925
751,926
752,928
753,929
754,930
755,931
756,932
757,933
758,934
759,935
760,936
761,937
762,939
763,940
764,941
765,942
766,943
767,944
768,945
769,946
770,948
771,949
772,951
773,952
774,953
775,956
776,958
777,961
778,962
779,964
780,965
781,966
782,967
783,969
784,970
785,973
786,975
787,976
788,977
789,979
790,980
791,981
792,982
793,983
794,984
795,985
796,986
797,990
798,991
799,992
800,993
801,996
802,997
803,998
804,999
805,1000
806,1001
807,1003
808,1004
809,1005
810,1006
811,1007
812,1008
813,1009
814,1010
815,1011
816,1012
817,1013
818,1014
819,1015
820,1016
821,1017
822,1018
823,1019
824,1020
825,1021
826,1022
827,1023
828,1024
829,1025
830,1026
831,1027
832,1028
833,1029
834,1030
835,1031
836,1032
837,1033
838,1034
839,1035
840,1036
841,1037
842,1038
843,1039
844,1040
845,1041
846,1042
847,1043
848,1046
849,1047
850,1048
851,1049
852,1050
853,1051
854,1054
855,1055
856,1056
857,1058
858,1059
859,1060
860,1061
861,1062
862,1063
863,1064
864,1065
865,1070
866,1071
867,1072
868,1073
869,1074
870,1076
871,1077
872,1078
873,1079
874,1081
875,1082
876,1083
877,1084
878,1089
879,1090
880,1091
881,1097
882,1100
883,1102
884,1103
885,1107
886,1111
887,1112
888,1114
889,1115
890,1116
891,1117
892,1118
893,1120
894,1124
895,1125
896,1126
897,1127
898,1128
899,1129
900,1131
901,1132
902,1133
903,1134
904,1135
905,1136
906,1137
907,1138
908,1139
909,1140
910,1141
911,1142
912,1143
913,1144
914,1145
915,1146
916,1147
917,1148
918,1150
919,1152
920,1155
921,1156
922,1158
923,1159
924,1161
925,1162
926,1163
927,1165
928,1166
929,1167
930,1169
931,1170
932,1171
933,1172
934,1173
935,1174
936,1175
937,1177
938,1178
939,1179
940,1180
941,1182
942,1183
943,1184
944,1185
945,1186
946,1187
947,1188
948,1189
949,1190
950,1191
951,1192
952,1193
953,1194
954,1195
955,1196
956,1197
957,1198
958,1199
959,1200
960,1201
961,1202
962,1203
963,1204
964,1205
965,1207
966,1208
967,1211
968,1213
969,1217
970,1218
971,1219
972,1220
973,1221
974,1223
975,1224
976,1225
977,1227
978,1228
979,1229
980,1230
981,1231
982,1232
983,1233
984,1234
985,1235
986,1237
987,1238
988,1240
989,1244
990,1246
991,1247
992,1248
993,1249
994,1254
995,1256
996,1257
997,1258
998,1259
999,1260
1000,1261
1001,1263
1002,1264
1003,1266
1004,1268
1005,1269
1006,1270
1007,1276
1008,1278
1009,1281
1010,1285
1011,1287
1012,1291
1013,1297
1014,1299
1015,1307
1016,1316
1017,1317
1018,1319
1019,1327
1020,1328
1021,1329
1022,1330
1023,1331
1024,1332
1025,1333
1026,1334
1027,1337
1028,1339
1029,1340
1030,1341
1031,1342
1032,1355
1033,1360
1034,1368
1035,1369
1036,1370
1037,1371
1038,1372
1039,1373
1040,1378
1041,1381
1042,1382
1043,1383
1044,1388
1045,1390
1046,1391
1047,1392
1048,1393
1049,1398
1050,1399
1051,1400
1052,1401
1053,1410
1054,1411
1055,1417
1056,1418
1057,1420
1058,1421
1059,1422
1060,1430
1061,1431
1062,1434
1063,1435
1064,1437
1065,1438
1066,1439
1067,1440
1068,1441
1069,1442
1070,1443
1071,1445
1072,1446
1073,1447
1074,1448
1075,1451
1076,1452
1077,1453
1078,1455
1079,1457
1080,1458
1081,1459
1082,1460
1083,1461
1084,1462
1085,1463
1086,1464
1087,1465
1088,1466
1089,1467
1090,1470
1091,1471
1092,1472
1093,1473
1094,1474
1095,1475
1096,1476
1097,1479
1098,1480
1099,1481
1100,1482
1101,1483
1102,1484
1103,1485
1104,1488
1105,1490
1106,1491
1107,1492
1108,1493
1109,1494
1110,1495
1111,1496
1112,1498
1113,1499
1114,1500
1115,1502
1116,1504
1117,1505
1118,1506
1119,1508
1120,1509
1121,1510
1122,1511
1123,1512
1124,1513
1125,1514
1126,1515
1127,1517
1128,1518
1129,1519
1130,1520
1131,1521
1132,1522
1133,1523
1134,1525
1135,1526
1136,1527
1137,1528
1138,1529
1139,1530
1140,1531
1141,1532
1142,1534
1143,1535
1144,1536
1145,1537
1146,1538
1147,1539
1148,1540
1149,1541
1150,1542
1151,1543
1152,1544
1153,1546
1154,1547
1155,1548
1156,1549
1157,1550
1158,1551
1159,1552
1160,1554
1161,1555
1162,1556
1163,1557
