,0
0,0
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,35
34,36
35,37
36,38
37,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,47
46,48
47,49
48,51
49,52
50,53
51,56
52,60
53,63
54,64
55,65
56,66
57,67
58,69
59,73
60,74
61,79
62,80
63,81
64,84
65,86
66,87
67,88
68,89
69,90
70,91
71,92
72,93
73,94
74,95
75,96
76,97
77,98
78,99
79,101
80,103
81,104
82,105
83,107
84,109
85,110
86,111
87,112
88,113
89,114
90,115
91,116
92,118
93,119
94,120
95,121
96,122
97,123
98,124
99,125
100,126
101,127
102,128
103,129
104,130
105,131
106,132
107,133
108,134
109,135
110,136
111,138
112,139
113,140
114,142
115,143
116,144
117,145
118,146
119,147
120,148
121,149
122,150
123,151
124,152
125,153
126,155
127,157
128,158
129,160
130,161
131,162
132,163
133,172
134,174
135,175
136,176
137,177
138,178
139,181
140,182
141,183
142,184
143,185
144,186
145,187
146,188
147,189
148,191
149,192
150,193
151,194
152,195
153,196
154,197
155,198
156,199
157,200
158,201
159,202
160,203
161,204
162,205
163,206
164,207
165,208
166,209
167,210
168,213
169,214
170,215
171,216
172,217
173,218
174,219
175,220
176,223
177,224
178,225
179,226
180,227
181,228
182,229
183,230
184,231
185,232
186,233
187,234
188,235
189,236
190,237
191,238
192,240
193,241
194,242
195,243
196,244
197,245
198,246
199,247
200,248
201,249
202,250
203,252
204,253
205,254
206,255
207,256
208,257
209,258
210,259
211,260
212,261
213,263
214,264
215,265
216,267
217,269
218,270
219,272
220,273
221,274
222,275
223,280
224,281
225,282
226,283
227,284
228,285
229,286
230,287
231,288
232,289
233,290
234,291
235,293
236,294
237,295
238,296
239,297
240,298
241,299
242,300
243,301
244,302
245,303
246,304
247,306
248,307
249,308
250,309
251,310
252,311
253,312
254,313
255,314
256,315
257,316
258,317
259,318
260,319
261,321
262,322
263,323
264,324
265,325
266,327
267,328
268,329
269,330
270,331
271,332
272,333
273,334
274,336
275,337
276,339
277,340
278,342
279,343
280,344
281,345
282,346
283,347
284,349
285,350
286,351
287,352
288,353
289,354
290,355
291,356
292,357
293,358
294,360
295,363
296,364
297,365
298,367
299,368
300,369
301,370
302,371
303,372
304,373
305,374
306,375
307,376
308,377
309,378
310,379
311,380
312,381
313,382
314,383
315,384
316,385
317,386
318,387
319,388
320,390
321,391
322,392
323,393
324,395
325,396
326,397
327,398
328,399
329,400
330,401
331,402
332,403
333,404
334,405
335,406
336,407
337,408
338,409
339,410
340,411
341,412
342,413
343,414
344,415
345,416
346,417
347,418
348,419
349,420
350,421
351,422
352,423
353,424
354,425
355,426
356,427
357,428
358,432
359,433
360,434
361,435
362,436
363,437
364,439
365,441
366,442
367,443
368,444
369,445
370,446
371,447
372,448
373,449
374,450
375,451
376,452
377,454
378,455
379,456
380,457
381,458
382,459
383,460
384,461
385,462
386,463
387,466
388,467
389,468
390,469
391,470
392,472
393,473
394,477
395,478
396,479
397,482
398,484
399,486
400,487
401,488
402,489
403,490
404,491
405,492
406,493
407,494
408,495
409,496
410,499
411,501
412,502
413,503
414,505
415,507
416,509
417,511
418,518
419,521
420,522
421,525
422,526
423,527
424,528
425,529
426,530
427,531
428,532
429,533
430,534
431,538
432,540
433,541
434,542
435,543
436,544
437,545
438,546
439,547
440,548
441,549
442,550
443,551
444,552
445,553
446,554
447,556
448,557
449,558
450,559
451,560
452,561
453,563
454,564
455,565
456,566
457,567
458,568
459,569
460,570
461,571
462,572
463,573
464,574
465,575
466,576
467,577
468,578
469,579
470,580
471,581
472,582
473,583
474,584
475,585
476,586
477,587
478,588
479,589
480,590
481,591
482,592
483,593
484,595
485,596
486,598
487,599
488,601
489,603
490,604
491,605
492,606
493,607
494,609
495,610
496,611
497,612
498,613
499,615
500,617
501,618
502,619
503,620
504,621
505,622
506,623
507,624
508,625
509,626
510,627
511,628
512,629
513,630
514,631
515,632
516,633
517,634
518,635
519,636
520,637
521,638
522,639
523,640
524,641
525,642
526,643
527,644
528,647
529,648
530,649
531,650
532,651
533,652
534,653
535,654
536,655
537,656
538,657
539,658
540,659
541,660
542,661
543,662
544,663
545,665
546,666
547,667
548,668
549,669
550,670
551,671
552,672
553,673
554,674
555,675
556,676
557,677
558,678
559,679
560,680
561,681
562,683
563,684
564,685
565,686
566,687
567,688
568,689
569,691
570,692
571,694
572,695
573,697
574,698
575,699
576,700
577,701
578,702
579,708
580,709
581,710
582,711
583,712
584,713
585,714
586,716
587,722
588,724
589,725
590,726
591,727
592,732
593,733
594,734
595,735
596,737
597,738
598,739
599,740
600,742
601,743
602,744
603,748
604,749
605,750
606,752
607,753
608,755
609,756
610,757
611,758
612,759
613,760
614,761
615,762
616,763
617,765
618,766
619,767
620,768
621,770
622,771
623,772
624,773
625,774
626,778
627,779
628,780
629,781
630,782
631,783
632,784
633,785
634,786
635,787
636,788
637,789
638,791
639,793
640,794
641,795
642,796
643,797
644,798
645,799
646,800
647,801
648,802
649,803
650,804
651,805
652,806
653,807
654,809
655,810
656,811
657,812
658,813
659,814
660,815
661,816
662,817
663,818
664,819
665,820
666,821
667,822
668,823
669,824
670,825
671,826
672,827
673,830
674,832
675,834
676,835
677,838
678,839
679,840
680,843
681,845
682,848
683,849
684,850
685,851
686,852
687,853
688,854
689,855
690,858
691,859
692,860
693,861
694,862
695,863
696,864
697,866
698,867
699,869
700,870
701,871
702,873
703,874
704,876
705,877
706,878
707,879
708,880
709,881
710,882
711,883
712,885
713,887
714,889
715,890
716,892
717,893
718,894
719,895
720,896
721,897
722,898
723,899
724,901
725,902
726,903
727,906
728,907
729,908
730,909
731,910
732,911
733,912
734,913
735,914
736,915
737,916
738,918
739,919
740,920
741,921
742,922
743,923
744,924
745,925
746,926
747,928
748,929
749,930
750,931
751,932
752,934
753,935
754,936
755,937
756,939
757,940
758,941
759,944
760,946
761,949
762,950
763,951
764,953
765,954
766,955
767,956
768,957
769,959
770,960
771,963
772,964
773,966
774,967
775,968
776,970
777,971
778,972
779,973
780,974
781,975
782,976
783,979
784,980
785,981
786,982
787,985
788,986
789,987
790,988
791,989
792,990
793,991
794,993
795,994
796,995
797,996
798,997
799,998
800,1000
801,1001
802,1002
803,1003
804,1004
805,1005
806,1006
807,1007
808,1008
809,1009
810,1010
811,1011
812,1012
813,1013
814,1014
815,1015
816,1016
817,1017
818,1018
819,1019
820,1020
821,1021
822,1022
823,1023
824,1024
825,1025
826,1026
827,1027
828,1028
829,1029
830,1030
831,1031
832,1032
833,1035
834,1036
835,1037
836,1038
837,1039
838,1040
839,1043
840,1044
841,1045
842,1047
843,1048
844,1049
845,1050
846,1051
847,1052
848,1053
849,1054
850,1059
851,1060
852,1061
853,1062
854,1064
855,1065
856,1066
857,1067
858,1069
859,1070
860,1071
861,1072
862,1077
863,1078
864,1084
865,1087
866,1089
867,1090
868,1094
869,1098
870,1099
871,1100
872,1101
873,1102
874,1103
875,1104
876,1106
877,1110
878,1111
879,1112
880,1113
881,1114
882,1115
883,1116
884,1117
885,1119
886,1120
887,1121
888,1122
889,1123
890,1124
891,1125
892,1126
893,1127
894,1128
895,1129
896,1130
897,1131
898,1132
899,1133
900,1135
901,1137
902,1140
903,1141
904,1143
905,1144
906,1145
907,1146
908,1147
909,1148
910,1150
911,1151
912,1152
913,1154
914,1155
915,1156
916,1157
917,1158
918,1159
919,1160
920,1161
921,1162
922,1163
923,1165
924,1166
925,1167
926,1168
927,1169
928,1170
929,1171
930,1172
931,1173
932,1174
933,1175
934,1176
935,1177
936,1178
937,1179
938,1180
939,1181
940,1182
941,1183
942,1184
943,1185
944,1186
945,1187
946,1189
947,1190
948,1193
949,1195
950,1199
951,1200
952,1201
953,1202
954,1203
955,1204
956,1207
957,1208
958,1209
959,1210
960,1212
961,1213
962,1214
963,1215
964,1216
965,1217
966,1218
967,1219
968,1220
969,1222
970,1223
971,1224
972,1226
973,1228
974,1230
975,1231
976,1232
977,1233
978,1238
979,1240
980,1241
981,1242
982,1243
983,1244
984,1245
985,1247
986,1248
987,1250
988,1252
989,1253
990,1254
991,1258
992,1259
993,1262
994,1266
995,1268
996,1272
997,1277
998,1279
999,1292
1000,1301
1001,1302
1002,1304
1003,1313
1004,1314
1005,1315
1006,1316
1007,1317
1008,1318
1009,1319
1010,1320
1011,1321
1012,1324
1013,1325
1014,1326
1015,1327
1016,1328
1017,1329
1018,1330
1019,1343
1020,1348
1021,1356
1022,1357
1023,1358
1024,1359
1025,1360
1026,1362
1027,1368
1028,1373
1029,1374
1030,1375
1031,1380
1032,1382
1033,1383
1034,1384
1035,1385
1036,1390
1037,1392
1038,1393
1039,1394
1040,1401
1041,1402
1042,1409
1043,1410
1044,1411
1045,1412
1046,1414
1047,1422
1048,1423
1049,1426
1050,1427
1051,1429
1052,1430
1053,1431
1054,1432
1055,1433
1056,1435
1057,1436
1058,1437
1059,1438
1060,1439
1061,1440
1062,1441
1063,1442
1064,1444
1065,1445
1066,1447
1067,1448
1068,1449
1069,1450
1070,1451
1071,1452
1072,1453
1073,1454
1074,1455
1075,1458
1076,1459
1077,1460
1078,1461
1079,1462
1080,1463
1081,1464
1082,1467
1083,1468
1084,1469
1085,1470
1086,1471
1087,1472
1088,1473
1089,1476
1090,1478
1091,1479
1092,1480
1093,1481
1094,1482
1095,1483
1096,1484
1097,1485
1098,1486
1099,1488
1100,1489
1101,1490
1102,1491
1103,1493
1104,1495
1105,1496
1106,1497
1107,1499
1108,1500
1109,1501
1110,1502
1111,1503
1112,1504
1113,1505
1114,1506
1115,1507
1116,1509
1117,1510
1118,1511
1119,1512
1120,1513
1121,1515
1122,1516
1123,1518
1124,1519
1125,1520
1126,1521
1127,1522
1128,1523
1129,1524
1130,1525
1131,1527
1132,1528
1133,1529
1134,1530
1135,1531
1136,1532
1137,1533
1138,1534
1139,1535
1140,1537
1141,1538
1142,1539
1143,1540
1144,1541
1145,1542
1146,1543
1147,1545
1148,1546
1149,1547
1150,1548
1151,1551
1152,1552
1153,1553
1154,1554
1155,1555
1156,1556
1157,1557
1158,1558
1159,1559
1160,1560
1161,1566
1162,1568
