,0
A1BG,0
A2M,1
A2ML1,2
A4GALT,3
AAAS,4
AACS,5
AADAC,6
AADAT,7
AAGAB,8
AAK1,9
AAMDC,10
AAMP,11
AAR2,12
AARD,13
AARS2,14
AASDH,15
AASDHPPT,16
AASS,17
AATF,18
AATK,19
ABAT,20
ABCA1,21
ABCA10,22
ABCA12,23
ABCA13,24
ABCA2,25
ABCA3,26
ABCA4,27
ABCA5,28
ABCA6,29
ABCA7,30
ABCA8,31
ABCA9,32
ABCB1,33
ABCB10,34
ABCB4,35
ABCB6,36
ABCB7,37
ABCB8,38
ABCB9,39
ABCC1,40
ABCC10,41
ABCC3,42
ABCC4,43
ABCC5,44
ABCC6,45
ABCC8,46
ABCC9,47
ABCD1,48
ABCD3,49
ABCD4,50
ABCE1,51
ABCF1,52
ABCF2,53
ABCF3,54
ABCG1,55
ABCG2,56
ABHD1,57
ABHD10,58
ABHD11,59
ABHD12,60
ABHD12B,61
ABHD13,62
ABHD14A,63
ABHD14A-ACY1,64
ABHD14B,65
ABHD15,66
ABHD16A,67
ABHD16B,68
ABHD17A,69
ABHD17B,70
ABHD17C,71
ABHD2,72
ABHD3,73
ABHD4,74
ABHD5,75
ABHD6,76
ABHD8,77
ABI1,78
ABI2,79
ABI3,80
ABI3BP,81
ABL1,82
ABL2,83
ABLIM1,84
ABLIM2,85
ABLIM3,86
ABR,87
ABRACL,88
ABT1,89
ABTB1,90
ABTB2,91
ACAA1,92
ACAA2,93
ACACA,94
ACACB,95
ACAD10,96
ACAD11,97
ACAD8,98
ACAD9,99
ACADL,100
ACADM,101
ACADS,102
ACADSB,103
ACADVL,104
ACAN,105
ACAP1,106
ACAP2,107
ACAP3,108
ACAT1,109
ACAT2,110
ACBD3,111
ACBD4,112
ACBD5,113
ACBD6,114
ACBD7,115
ACCS,116
ACD,117
ACE,118
ACE2,119
ACER2,120
ACER3,121
ACHE,122
ACIN1,123
ACKR2,124
ACKR3,125
ACKR4,126
ACLY,127
ACO1,128
ACO2,129
ACOT1,130
ACOT11,131
ACOT13,132
ACOT2,133
ACOT4,134
ACOT7,135
ACOT8,136
ACOT9,137
ACOX1,138
ACOX2,139
ACOX3,140
ACOXL,141
ACP1,142
ACP2,143
ACP5,144
ACP6,145
ACR,146
ACRBP,147
ACSBG1,148
ACSF2,149
ACSF3,150
ACSL1,151
ACSL3,152
ACSL4,153
ACSL5,154
ACSM1,155
ACSM3,156
ACSS1,157
ACSS2,158
ACSS3,159
ACTA2,160
ACTB,161
ACTC1,162
ACTG1,163
ACTG2,164
ACTL10,165
ACTL6A,166
ACTL8,167
ACTN1,168
ACTN2,169
ACTN4,170
ACTR10,171
ACTR1A,172
ACTR1B,173
ACTR2,174
ACTR3,175
ACTR3B,176
ACTR3C,177
ACTR5,178
ACTR6,179
ACTR8,180
ACTRT3,181
ACVR1,182
ACVR1B,183
ACVR2A,184
ACVR2B,185
ACVRL1,186
ACY1,187
ACY3,188
ACYP1,189
ACYP2,190
ADA,191
ADAL,192
ADAM10,193
ADAM11,194
ADAM12,195
ADAM15,196
ADAM17,197
ADAM19,198
ADAM22,199
ADAM23,200
ADAM28,201
ADAM32,202
ADAM33,203
ADAM8,204
ADAM9,205
ADAMDEC1,206
ADAMTS1,207
ADAMTS10,208
ADAMTS12,209
ADAMTS13,210
ADAMTS14,211
ADAMTS15,212
ADAMTS16,213
ADAMTS17,214
ADAMTS18,215
ADAMTS19,216
ADAMTS2,217
ADAMTS3,218
ADAMTS4,219
ADAMTS5,220
ADAMTS6,221
ADAMTS7,222
ADAMTS8,223
ADAMTS9,224
ADAMTSL1,225
ADAMTSL2,226
ADAMTSL3,227
ADAMTSL4,228
ADAMTSL5,229
ADAP1,230
ADAP2,231
ADAR,232
ADARB1,233
ADAT1,234
ADAT2,235
ADAT3,236
ADCK1,237
ADCK2,238
ADCK5,239
ADCY1,240
ADCY2,241
ADCY3,242
ADCY4,243
ADCY5,244
ADCY6,245
ADCY7,246
ADCY9,247
ADCYAP1R1,248
ADD1,249
ADD2,250
ADD3,251
ADGB,252
ADH1B,253
ADH5,254
ADH6,255
ADHFE1,256
ADI1,257
ADIPOR1,258
ADIPOR2,259
ADIRF,260
ADK,261
ADM,262
ADM2,263
ADM5,264
ADNP,265
ADNP2,266
ADO,267
ADORA1,268
ADORA2A,269
ADORA2B,270
ADORA3,271
ADPGK,272
ADPRH,273
ADPRHL1,274
ADPRM,275
ADRA1B,276
ADRA2A,277
ADRA2B,278
ADRA2C,279
ADRB2,280
ADRM1,281
ADSL,282
ADTRP,283
AEBP1,284
AEBP2,285
AEN,286
AFAP1,287
AFAP1L1,288
AFAP1L2,289
AFF1,290
AFF2,291
AFF3,292
AFF4,293
AFG3L2,294
AFMID,295
AFTPH,296
AGA,297
AGAP1,298
AGAP2,299
AGAP3,300
AGAP4,301
AGAP5,302
AGAP6,303
AGAP9,304
AGBL2,305
AGBL3,306
AGBL5,307
AGER,308
AGFG1,309
AGFG2,310
AGGF1,311
AGK,312
AGL,313
AGMAT,314
AGMO,315
AGO1,316
AGO2,317
AGO3,318
AGO4,319
AGPAT1,320
AGPAT2,321
AGPAT3,322
AGPAT4,323
AGPAT5,324
AGPS,325
AGR2,326
AGR3,327
AGRN,328
AGT,329
AGTPBP1,330
AGTR2,331
AGTRAP,332
AHCTF1,333
AHCY,334
AHCYL1,335
AHCYL2,336
AHDC1,337
AHI1,338
AHNAK,339
AHNAK2,340
AHR,341
AHRR,342
AHSA1,343
AIDA,344
AIF1,345
AIF1L,346
AIFM1,347
AIFM2,348
AIFM3,349
AIG1,350
AIM2,351
AIMP1,352
AIMP2,353
AIP,354
AJAP1,355
AJUBA,356
AK1,357
AK2,358
AK3,359
AK4,360
AK5,361
AK7,362
AK8,363
AK9,364
AKAP1,365
AKAP10,366
AKAP11,367
AKAP12,368
AKAP13,369
AKAP14,370
AKAP17A,371
AKAP2,372
AKAP3,373
AKAP5,374
AKAP6,375
AKAP7,376
AKAP8,377
AKAP8L,378
AKAP9,379
AKIP1,380
AKIRIN1,381
AKIRIN2,382
AKNA,383
AKR1A1,384
AKR1B1,385
AKR1B10,386
AKR1B15,387
AKR1C1,388
AKR1C2,389
AKR1C3,390
AKR1E2,391
AKR7A2,392
AKR7A3,393
AKT1,394
AKT1S1,395
AKT2,396
AKT3,397
AKTIP,398
ALAD,399
ALAS1,400
ALB,401
ALCAM,402
ALDH16A1,403
ALDH18A1,404
ALDH1A1,405
ALDH1A2,406
ALDH1A3,407
ALDH1B1,408
ALDH1L1,409
ALDH1L2,410
ALDH2,411
ALDH3A1,412
ALDH3A2,413
ALDH3B1,414
ALDH3B2,415
ALDH4A1,416
ALDH5A1,417
ALDH6A1,418
ALDH7A1,419
ALDH8A1,420
ALDH9A1,421
ALDOA,422
ALDOC,423
ALG1,424
ALG10,425
ALG10B,426
ALG11,427
ALG12,428
ALG13,429
ALG14,430
ALG1L,431
ALG2,432
ALG3,433
ALG5,434
ALG6,435
ALG8,436
ALG9,437
ALKBH1,438
ALKBH2,439
ALKBH3,440
ALKBH4,441
ALKBH5,442
ALKBH6,443
ALKBH7,444
ALKBH8,445
ALMS1,446
ALOX12B,447
ALOX15,448
ALOX15B,449
ALOX5,450
ALOX5AP,451
ALPK1,452
ALPK3,453
ALPL,454
ALPP,455
ALS2,456
ALS2CL,457
ALX1,458
ALX3,459
ALYREF,460
AMACR,461
AMBP,462
AMBRA1,463
AMD1,464
AMDHD1,465
AMDHD2,466
AMER1,467
AMFR,468
AMH,469
AMIGO1,470
AMIGO2,471
AMIGO3,472
AMMECR1,473
AMMECR1L,474
AMN,475
AMN1,476
AMOT,477
AMOTL1,478
AMOTL2,479
AMPD2,480
AMPD3,481
AMPH,482
AMT,483
AMY1A,484
AMY1B,485
AMY1C,486
AMY2B,487
AMZ2,488
ANAPC1,489
ANAPC10,490
ANAPC11,491
ANAPC13,492
ANAPC15,493
ANAPC16,494
ANAPC2,495
ANAPC4,496
ANAPC5,497
ANAPC7,498
ANG,499
ANGEL1,500
ANGEL2,501
ANGPT1,502
ANGPT2,503
ANGPTL1,504
ANGPTL2,505
ANGPTL4,506
ANK1,507
ANK2,508
ANK3,509
ANKAR,510
ANKDD1A,511
ANKDD1B,512
ANKEF1,513
ANKFN1,514
ANKFY1,515
ANKH,516
ANKHD1,517
ANKHD1-EIF4EBP3,518
ANKIB1,519
ANKK1,520
ANKLE1,521
ANKLE2,522
ANKMY1,523
ANKMY2,524
ANKRA2,525
ANKRD1,526
ANKRD10,527
ANKRD11,528
ANKRD12,529
ANKRD13A,530
ANKRD13B,531
ANKRD13C,532
ANKRD13D,533
ANKRD16,534
ANKRD17,535
ANKRD18A,536
ANKRD2,537
ANKRD22,538
ANKRD23,539
ANKRD26,540
ANKRD27,541
ANKRD28,542
ANKRD29,543
ANKRD34B,544
ANKRD35,545
ANKRD36,546
ANKRD36C,547
ANKRD37,548
ANKRD39,549
ANKRD40,550
ANKRD42,551
ANKRD44,552
ANKRD45,553
ANKRD46,554
ANKRD49,555
ANKRD50,556
ANKRD52,557
ANKRD53,558
ANKRD54,559
ANKRD6,560
ANKRD65,561
ANKRD66,562
ANKRD7,563
ANKRD9,564
ANKS1A,565
ANKS1B,566
ANKS3,567
ANKS6,568
ANKUB1,569
ANKZF1,570
ANLN,571
ANO1,572
ANO10,573
ANO2,574
ANO4,575
ANO5,576
ANO6,577
ANO7,578
ANO8,579
ANO9,580
ANP32A,581
ANP32B,582
ANP32E,583
ANPEP,584
ANTXR1,585
ANTXR2,586
ANXA1,587
ANXA11,588
ANXA13,589
ANXA2,590
ANXA2R,591
ANXA3,592
ANXA4,593
ANXA5,594
ANXA6,595
ANXA7,596
ANXA8,597
ANXA8L1,598
ANXA9,599
AOAH,600
AOC1,601
AOC2,602
AOC3,603
AOX1,604
AP1AR,605
AP1B1,606
AP1G1,607
AP1G2,608
AP1M1,609
AP1M2,610
AP1S1,611
AP1S2,612
AP1S3,613
AP2A1,614
AP2A2,615
AP2B1,616
AP2M1,617
AP2S1,618
AP3B1,619
AP3B2,620
AP3D1,621
AP3M1,622
AP3M2,623
AP3S1,624
AP3S2,625
AP4B1,626
AP4E1,627
AP4M1,628
AP4S1,629
AP5B1,630
AP5M1,631
AP5S1,632
AP5Z1,633
APAF1,634
APBA1,635
APBA2,636
APBA3,637
APBB1,638
APBB1IP,639
APBB2,640
APBB3,641
APC,642
APCDD1,643
APCDD1L,644
APEH,645
APEX1,646
APEX2,647
APH1A,648
APH1B,649
API5,650
APIP,651
APLF,652
APLN,653
APLNR,654
APLP1,655
APLP2,656
APMAP,657
APOA1,658
APOA2,659
APOBEC3A,660
APOBEC3B,661
APOBEC3C,662
APOBEC3D,663
APOBEC3F,664
APOBEC3G,665
APOBEC3H,666
APOBEC4,667
APOBR,668
APOC1,669
APOC2,670
APOC4-APOC2,671
APOD,672
APOE,673
APOL1,674
APOL2,675
APOL3,676
APOL4,677
APOL6,678
APOLD1,679
APOM,680
APOO,681
APOOL,682
APP,683
APPBP2,684
APPL1,685
APPL2,686
APRT,687
APTX,688
AQP1,689
AQP11,690
AQP12A,691
AQP12B,692
AQP2,693
AQP3,694
AQP5,695
AQP6,696
AQP7,697
AQP9,698
AQR,699
AR,700
ARAF,701
ARAP1,702
ARAP2,703
ARAP3,704
ARC,705
ARCN1,706
AREG,707
AREL1,708
ARF1,709
ARF3,710
ARF4,711
ARF5,712
ARF6,713
ARFGAP1,714
ARFGAP2,715
ARFGAP3,716
ARFGEF1,717
ARFGEF2,718
ARFIP1,719
ARFIP2,720
ARFRP1,721
ARG2,722
ARGLU1,723
ARHGAP1,724
ARHGAP10,725
ARHGAP11A,726
ARHGAP11B,727
ARHGAP12,728
ARHGAP15,729
ARHGAP17,730
ARHGAP18,731
ARHGAP19,732
ARHGAP21,733
ARHGAP22,734
ARHGAP23,735
ARHGAP24,736
ARHGAP25,737
ARHGAP26,738
ARHGAP27,739
ARHGAP28,740
ARHGAP29,741
ARHGAP30,742
ARHGAP31,743
ARHGAP32,744
ARHGAP33,745
ARHGAP35,746
ARHGAP39,747
ARHGAP4,748
ARHGAP42,749
ARHGAP44,750
ARHGAP5,751
ARHGAP6,752
ARHGAP9,753
ARHGDIA,754
ARHGDIB,755
ARHGDIG,756
ARHGEF1,757
ARHGEF10,758
ARHGEF10L,759
ARHGEF11,760
ARHGEF12,761
ARHGEF15,762
ARHGEF16,763
ARHGEF17,764
ARHGEF18,765
ARHGEF19,766
ARHGEF2,767
ARHGEF25,768
ARHGEF26,769
ARHGEF28,770
ARHGEF3,771
ARHGEF33,772
ARHGEF35,773
ARHGEF37,774
ARHGEF38,775
ARHGEF39,776
ARHGEF4,777
ARHGEF40,778
ARHGEF5,779
ARHGEF6,780
ARHGEF7,781
ARHGEF9,782
ARID1A,783
ARID1B,784
ARID2,785
ARID3A,786
ARID3B,787
ARID4A,788
ARID4B,789
ARID5A,790
ARID5B,791
ARIH1,792
ARIH2,793
ARIH2OS,794
ARL1,795
ARL10,796
ARL11,797
ARL13B,798
ARL14,799
ARL14EP,800
ARL15,801
ARL16,802
ARL17A,803
ARL2,804
ARL2BP,805
ARL3,806
ARL4A,807
ARL4C,808
ARL4D,809
ARL5A,810
ARL5B,811
ARL6,812
ARL6IP1,813
ARL6IP4,814
ARL6IP5,815
ARL6IP6,816
ARL8A,817
ARL8B,818
ARL9,819
ARMC1,820
ARMC10,821
ARMC12,822
ARMC2,823
ARMC3,824
ARMC5,825
ARMC6,826
ARMC7,827
ARMC8,828
ARMC9,829
ARMCX1,830
ARMCX2,831
ARMCX3,832
ARMCX4,833
ARMCX5,834
ARMCX6,835
ARNT,836
ARNT2,837
ARNTL,838
ARNTL2,839
ARPC1A,840
ARPC1B,841
ARPC2,842
ARPC3,843
ARPC4,844
ARPC5,845
ARPC5L,846
ARPP19,847
ARRB1,848
ARRB2,849
ARRDC1,850
ARRDC2,851
ARRDC3,852
ARRDC4,853
ARSA,854
ARSB,855
ARSD,856
ARSG,857
ARSI,858
ARSJ,859
ARSK,860
ART3,861
ART5,862
ARTN,863
ARV1,864
ARVCF,865
ARX,866
AS3MT,867
ASAH1,868
ASAH2,869
ASAH2B,870
ASAP1,871
ASAP2,872
ASAP3,873
ASB1,874
ASB12,875
ASB13,876
ASB16,877
ASB2,878
ASB6,879
ASB7,880
ASB8,881
ASB9,882
ASCC1,883
ASCC2,884
ASCC3,885
ASCL2,886
ASF1A,887
ASF1B,888
ASGR1,889
ASH1L,890
ASH2L,891
ASIC1,892
ASIC2,893
ASIC3,894
ASL,895
ASMTL,896
ASNS,897
ASNSD1,898
ASPG,899
ASPH,900
ASPHD1,901
ASPHD2,902
ASPM,903
ASPN,904
ASPRV1,905
ASPSCR1,906
ASRGL1,907
ASS1,908
ASTE1,909
ASTN1,910
ASTN2,911
ASXL1,912
ASXL2,913
ATAD1,914
ATAD2,915
ATAD2B,916
ATAD3A,917
ATAD3B,918
ATAD3C,919
ATAD5,920
ATAT1,921
ATE1,922
ATF1,923
ATF2,924
ATF3,925
ATF4,926
ATF5,927
ATF6,928
ATF6B,929
ATF7,930
ATF7IP,931
ATF7IP2,932
ATG10,933
ATG12,934
ATG13,935
ATG14,936
ATG16L1,937
ATG16L2,938
ATG2A,939
ATG2B,940
ATG3,941
ATG4A,942
ATG4B,943
ATG4C,944
ATG4D,945
ATG5,946
ATG7,947
ATG9A,948
ATG9B,949
ATIC,950
ATL1,951
ATL2,952
ATL3,953
ATM,954
ATMIN,955
ATN1,956
ATOH8,957
ATOX1,958
ATP10A,959
ATP10B,960
ATP10D,961
ATP11A,962
ATP11B,963
ATP11C,964
ATP13A1,965
ATP13A2,966
ATP13A3,967
ATP13A4,968
ATP1A1,969
ATP1A2,970
ATP1B1,971
ATP1B2,972
ATP1B3,973
ATP2A1,974
ATP2A2,975
ATP2A3,976
ATP2B1,977
ATP2B2,978
ATP2B4,979
ATP2C1,980
ATP2C2,981
ATP6AP1,982
ATP6AP1L,983
ATP6AP2,984
ATP6V0A1,985
ATP6V0A2,986
ATP6V0A4,987
ATP6V0B,988
ATP6V0C,989
ATP6V0D1,990
ATP6V0E1,991
ATP6V0E2,992
ATP6V1A,993
ATP6V1B1,994
ATP6V1B2,995
ATP6V1C1,996
ATP6V1C2,997
ATP6V1D,998
ATP6V1E1,999
ATP6V1E2,1000
ATP6V1F,1001
ATP6V1G1,1002
