,0
0,0.0
1,1.0
2,2.0
3,3.0
4,5.0
5,6.0
6,9.0
7,10.0
8,12.0
9,16.0
10,19.0
11,20.0
12,21.0
13,22.0
14,25.0
15,28.0
16,29.0
17,30.0
18,31.0
19,32.0
20,34.0
21,35.0
22,37.0
23,38.0
24,39.0
25,40.0
26,41.0
27,42.0
28,43.0
29,44.0
30,46.0
31,48.0
32,50.0
33,51.0
34,53.0
35,54.0
36,56.0
37,57.0
38,59.0
39,60.0
40,61.0
41,62.0
42,63.0
43,64.0
44,65.0
45,66.0
46,68.0
47,69.0
48,71.0
49,72.0
50,74.0
51,78.0
52,79.0
53,81.0
54,82.0
55,83.0
56,85.0
57,86.0
58,87.0
59,88.0
60,91.0
61,92.0
62,93.0
63,94.0
64,95.0
65,96.0
66,97.0
67,98.0
68,99.0
69,100.0
70,103.0
71,105.0
72,106.0
73,108.0
74,109.0
75,111.0
76,112.0
77,115.0
78,116.0
79,117.0
80,118.0
81,119.0
82,120.0
83,121.0
84,122.0
85,123.0
86,124.0
87,125.0
88,126.0
89,127.0
90,128.0
91,129.0
92,130.0
93,132.0
94,133.0
95,134.0
96,135.0
97,136.0
98,137.0
99,138.0
100,139.0
101,140.0
102,141.0
103,142.0
104,143.0
105,144.0
106,145.0
107,146.0
108,147.0
109,148.0
110,149.0
111,150.0
112,151.0
113,152.0
114,153.0
115,154.0
116,155.0
117,156.0
118,157.0
119,158.0
120,159.0
121,160.0
122,161.0
123,162.0
124,164.0
125,165.0
126,167.0
127,168.0
128,170.0
129,171.0
130,172.0
131,174.0
132,175.0
133,176.0
134,177.0
135,178.0
136,179.0
137,181.0
138,182.0
139,184.0
140,186.0
141,187.0
142,188.0
143,191.0
144,196.0
145,197.0
146,198.0
147,199.0
148,201.0
149,202.0
150,208.0
151,210.0
152,211.0
153,212.0
154,214.0
155,216.0
156,217.0
157,220.0
158,221.0
159,222.0
160,223.0
161,224.0
162,225.0
163,226.0
164,227.0
165,228.0
166,229.0
167,230.0
168,231.0
169,232.0
170,233.0
171,234.0
172,235.0
173,236.0
174,237.0
175,238.0
176,239.0
177,241.0
178,242.0
179,243.0
180,244.0
181,246.0
182,247.0
183,248.0
184,250.0
185,252.0
186,254.0
187,255.0
188,256.0
189,258.0
190,260.0
191,261.0
192,262.0
193,263.0
194,264.0
195,265.0
196,266.0
197,267.0
198,268.0
199,269.0
200,270.0
201,272.0
202,276.0
203,278.0
204,280.0
205,281.0
206,282.0
207,283.0
208,284.0
209,285.0
210,286.0
211,287.0
212,288.0
213,289.0
214,290.0
215,293.0
216,294.0
217,295.0
218,296.0
219,297.0
220,298.0
221,299.0
222,300.0
223,301.0
224,302.0
225,303.0
226,304.0
227,305.0
228,306.0
229,308.0
230,309.0
231,311.0
232,312.0
233,314.0
234,316.0
235,317.0
236,319.0
237,320.0
238,321.0
239,322.0
240,323.0
241,324.0
242,325.0
243,326.0
244,327.0
245,329.0
246,330.0
247,332.0
248,334.0
249,335.0
250,336.0
251,337.0
252,338.0
253,339.0
254,340.0
255,342.0
256,343.0
257,344.0
258,345.0
259,346.0
260,347.0
261,348.0
262,351.0
263,352.0
264,354.0
265,356.0
266,357.0
267,358.0
268,359.0
269,360.0
270,361.0
271,363.0
272,364.0
273,365.0
274,366.0
275,367.0
276,368.0
277,370.0
278,372.0
279,374.0
280,375.0
281,376.0
282,377.0
283,378.0
284,379.0
285,380.0
286,381.0
287,383.0
288,385.0
289,386.0
290,388.0
291,391.0
292,393.0
293,394.0
294,395.0
295,396.0
296,398.0
297,399.0
298,400.0
299,401.0
300,402.0
301,403.0
302,404.0
303,405.0
304,406.0
305,407.0
306,408.0
307,409.0
308,410.0
309,411.0
310,412.0
311,413.0
312,415.0
313,416.0
314,417.0
315,419.0
316,420.0
317,422.0
318,423.0
319,426.0
320,427.0
321,428.0
322,429.0
323,431.0
324,432.0
325,433.0
326,434.0
327,435.0
328,436.0
329,437.0
330,438.0
331,439.0
332,440.0
333,441.0
334,442.0
335,443.0
336,444.0
337,445.0
338,446.0
339,448.0
340,449.0
341,450.0
342,451.0
343,452.0
344,453.0
345,454.0
346,455.0
347,456.0
348,457.0
349,458.0
350,459.0
351,460.0
352,461.0
353,462.0
354,463.0
355,464.0
356,466.0
357,468.0
358,469.0
359,470.0
360,471.0
361,473.0
362,476.0
363,477.0
364,478.0
365,479.0
366,480.0
367,481.0
368,482.0
369,495.0
370,497.0
371,503.0
372,506.0
373,507.0
374,509.0
375,511.0
376,514.0
377,517.0
378,519.0
379,520.0
380,521.0
381,522.0
382,523.0
383,524.0
384,525.0
385,526.0
386,527.0
387,530.0
388,531.0
389,532.0
390,533.0
391,534.0
392,535.0
393,536.0
394,537.0
395,540.0
396,542.0
397,543.0
398,544.0
399,545.0
400,546.0
401,547.0
402,548.0
403,549.0
404,550.0
405,551.0
406,552.0
407,554.0
408,555.0
409,556.0
410,557.0
411,559.0
412,560.0
413,561.0
414,562.0
415,563.0
416,564.0
417,566.0
418,567.0
419,568.0
420,569.0
421,570.0
422,571.0
423,572.0
424,573.0
425,574.0
426,575.0
427,576.0
428,577.0
429,579.0
430,580.0
431,581.0
432,582.0
433,583.0
434,584.0
435,585.0
436,588.0
437,589.0
438,590.0
439,591.0
440,592.0
441,594.0
442,595.0
443,596.0
444,599.0
445,600.0
446,610.0
447,611.0
448,615.0
449,616.0
450,620.0
451,623.0
452,624.0
453,625.0
454,627.0
455,628.0
456,630.0
457,632.0
458,633.0
459,634.0
460,636.0
461,637.0
462,638.0
463,639.0
464,641.0
465,642.0
466,643.0
467,644.0
468,646.0
469,647.0
470,650.0
471,651.0
472,652.0
473,654.0
474,655.0
475,656.0
476,657.0
477,658.0
478,659.0
479,660.0
480,661.0
481,662.0
482,663.0
483,665.0
484,667.0
485,668.0
486,669.0
487,670.0
488,671.0
489,672.0
490,673.0
491,674.0
492,675.0
493,676.0
494,678.0
495,680.0
496,682.0
497,683.0
498,684.0
499,685.0
500,686.0
501,687.0
502,688.0
503,689.0
504,690.0
505,692.0
506,694.0
507,695.0
508,696.0
509,697.0
510,698.0
511,699.0
512,700.0
513,702.0
514,703.0
515,705.0
516,707.0
517,708.0
518,709.0
519,710.0
520,711.0
521,712.0
522,713.0
523,714.0
524,715.0
525,716.0
526,717.0
527,718.0
528,719.0
529,720.0
530,721.0
531,722.0
532,723.0
533,724.0
534,725.0
535,727.0
536,728.0
537,729.0
538,730.0
539,731.0
540,732.0
541,735.0
542,736.0
543,738.0
544,739.0
545,740.0
546,741.0
547,742.0
548,743.0
549,744.0
550,745.0
551,746.0
552,747.0
553,748.0
554,750.0
555,751.0
556,752.0
557,753.0
558,754.0
559,755.0
560,756.0
561,757.0
562,758.0
563,760.0
564,761.0
565,762.0
566,763.0
567,764.0
568,765.0
569,766.0
570,767.0
571,769.0
572,771.0
573,772.0
574,774.0
575,775.0
576,776.0
577,777.0
578,780.0
579,781.0
580,782.0
581,783.0
582,784.0
583,785.0
584,787.0
585,788.0
586,789.0
587,790.0
588,791.0
589,792.0
590,794.0
591,798.0
592,800.0
593,801.0
594,802.0
595,804.0
596,805.0
597,806.0
598,807.0
599,808.0
600,809.0
601,810.0
602,812.0
603,814.0
604,815.0
605,818.0
606,819.0
607,820.0
608,821.0
609,822.0
610,823.0
611,825.0
612,826.0
613,827.0
614,829.0
615,831.0
616,832.0
617,834.0
618,835.0
619,837.0
620,838.0
621,839.0
622,840.0
623,841.0
624,844.0
625,845.0
626,847.0
627,848.0
628,851.0
629,852.0
630,853.0
631,854.0
632,855.0
633,856.0
634,857.0
635,858.0
636,859.0
637,860.0
638,861.0
639,862.0
