,0
0,1
1,75
2,79
3,80
4,120
5,144
6,175
7,176
8,277
9,278
10,279
11,341
12,381
13,382
14,483
15,625
16,664
17,701
18,709
19,714
20,721
21,722
22,724
23,746
24,747
25,753
26,794
27,860
28,865
29,866
30,876
31,884
32,903
33,907
34,923
35,969
36,973
37,979
38,1058
39,1059
40,1066
41,1097
42,1098
43,1099
44,1100
45,1104
46,1105
47,1110
48,1111
49,1113
50,1116
51,1118
52,1120
53,1121
54,1122
55,1164
56,1166
57,1172
58,1190
59,1196
60,1223
61,1224
62,1228
63,1229
64,1230
65,1238
66,1271
67,1272
68,1274
69,1285
70,1505
71,1537
72,1555
73,1559
74,1585
75,1604
76,1609
77,1610
78,1623
79,1624
80,1625
81,1626
82,1627
83,1637
84,1711
85,1767
86,1769
87,1770
88,1771
89,1772
90,1774
91,1799
92,1830
93,1835
94,1837
95,1870
96,1872
97,1873
98,1874
99,1920
100,1929
101,1930
102,1933
103,1952
104,1964
105,1970
106,1978
107,1979
108,1981
109,1984
110,1998
111,2009
112,2119
113,2122
114,2123
115,2124
116,2127
117,2131
118,2182
119,2202
120,2205
121,2283
122,2313
123,2314
124,2339
125,2360
126,2382
127,2411
128,2423
129,2518
130,2559
131,2561
132,2562
133,2565
134,2585
135,2590
136,2592
137,2605
138,2608
139,2613
140,2652
141,2665
142,2670
143,2700
144,2702
145,2737
146,2766
147,2813
148,2830
149,2831
150,2874
151,2891
152,2896
153,2902
154,2905
155,2920
156,2928
157,2937
158,2955
159,2992
160,3036
161,3039
162,3041
163,3084
164,3112
165,3159
166,3162
167,3163
168,3234
169,3329
170,3369
171,3370
172,3376
173,3410
174,3416
175,3434
176,3466
177,3489
178,3490
179,3495
180,3496
181,3535
182,3579
183,3594
184,3595
185,3597
186,3614
187,3625
188,3627
189,3629
190,3630
191,3631
192,3632
193,3639
194,3684
195,3688
196,3691
197,3692
198,3693
199,3707
200,3735
201,3736
202,3743
203,3744
204,3908
205,3910
206,3911
207,3912
208,3913
209,3914
210,3927
211,3934
212,3935
213,3943
214,3968
215,4013
216,4036
217,4042
218,4070
219,4072
220,4073
221,4074
222,4079
223,4082
224,4097
225,4114
226,4119
227,4120
228,4122
229,4132
230,4172
231,4173
232,4191
233,4192
234,4193
235,4194
236,4198
237,4236
238,4243
239,4251
240,4354
241,4356
242,4357
243,4490
244,4534
245,4536
246,4544
247,4579
248,4593
249,4621
250,4629
251,4687
252,4721
253,4777
254,4918
255,4929
256,4934
257,4958
258,4973
259,4974
260,4993
261,5004
262,5005
263,5024
264,5032
265,5057
266,5061
267,5062
268,5069
269,5080
270,5085
271,5086
272,5108
273,5146
274,5147
275,5188
276,5214
277,5217
278,5218
279,5277
280,5306
281,5309
282,5344
283,5361
284,5363
285,5409
286,5462
287,5467
288,5469
289,5494
290,5516
291,5533
292,5560
293,5561
294,5562
295,5585
296,5594
297,5601
298,5602
299,5603
300,5641
301,5691
302,5693
303,5695
304,5698
305,5699
306,5700
307,5766
308,5776
309,5790
310,5791
311,5792
312,5846
313,5847
314,5848
315,5849
316,5853
317,5899
318,5948
319,5953
320,5956
321,5957
322,5967
323,5994
324,5999
325,6007
326,6032
327,6085
328,6088
329,6121
330,6135
331,6267
332,6293
333,6299
334,6300
335,6310
336,6312
337,6336
338,6340
339,6369
340,6375
341,6379
