,0
0,0
1,3
2,4
3,5
4,6
5,7
6,8
7,9
8,10
9,12
10,13
11,15
12,16
13,17
14,18
15,19
16,20
17,21
18,22
19,23
20,24
21,25
22,26
23,27
24,28
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,36
33,37
34,38
35,39
36,40
37,41
38,42
39,43
40,44
41,45
42,46
43,47
44,48
45,49
46,50
47,51
48,52
49,53
50,54
51,56
52,57
53,58
54,61
55,66
56,68
57,70
58,71
59,72
60,73
61,75
62,79
63,80
64,85
65,86
66,87
67,90
68,92
69,93
70,94
71,95
72,96
73,97
74,98
75,99
76,100
77,101
78,102
79,103
80,104
81,105
82,107
83,109
84,110
85,111
86,113
87,114
88,116
89,117
90,118
91,119
92,120
93,121
94,122
95,123
96,124
97,126
98,127
99,129
100,130
101,131
102,132
103,133
104,134
105,135
106,136
107,137
108,138
109,139
110,140
111,141
112,142
113,143
114,144
115,145
116,147
117,148
118,149
119,151
120,152
121,153
122,154
123,155
124,156
125,157
126,158
127,159
128,160
129,161
130,162
131,163
132,164
133,165
134,167
135,169
136,170
137,171
138,173
139,174
140,175
141,176
142,185
143,187
144,188
145,189
146,190
147,191
148,192
149,193
150,195
151,196
152,197
153,198
154,199
155,200
156,201
157,202
158,204
159,205
160,206
161,207
162,208
163,209
164,210
165,211
166,212
167,213
168,214
169,215
170,216
171,217
172,218
173,219
174,220
175,221
176,222
177,223
178,224
179,225
180,226
181,229
182,230
183,231
184,232
185,233
186,234
187,235
188,236
189,239
190,240
191,241
192,242
193,243
194,244
195,245
196,246
197,247
198,248
199,249
200,250
201,251
202,252
203,253
204,254
205,255
206,256
207,257
208,258
209,260
210,261
211,264
212,265
213,266
214,267
215,268
216,269
217,270
218,271
219,272
220,273
221,275
222,276
223,277
224,278
225,279
226,280
227,281
228,282
229,283
230,284
231,285
232,287
233,288
234,289
235,293
236,294
237,296
238,297
239,298
240,299
241,304
242,305
243,306
244,307
245,308
246,309
247,310
248,311
249,312
250,313
251,314
252,315
253,317
254,318
255,319
256,320
257,321
258,322
259,323
260,324
261,325
262,326
263,327
264,328
265,329
266,331
267,332
268,333
269,334
270,335
271,336
272,337
273,338
274,339
275,340
276,341
277,342
278,343
279,344
280,346
281,348
282,349
283,350
284,351
285,353
286,354
287,355
288,356
289,357
290,358
291,359
292,360
293,361
294,362
295,363
296,365
297,366
298,368
299,369
300,371
301,372
302,373
303,374
304,375
305,377
306,378
307,379
308,380
309,381
310,382
311,383
312,384
313,385
314,386
315,387
316,389
317,392
318,393
319,394
320,396
321,397
322,398
323,399
324,400
325,401
326,402
327,403
328,404
