,0
0,0.0
1,1.0
2,2.0
3,3.0
4,4.0
5,5.0
6,6.0
7,7.0
8,8.0
9,9.0
10,10.0
11,12.0
12,13.0
13,14.0
14,15.0
15,16.0
16,18.0
17,19.0
18,21.0
19,23.0
20,26.0
21,27.0
22,28.0
23,29.0
24,30.0
25,31.0
26,32.0
27,33.0
28,34.0
29,35.0
30,36.0
31,37.0
32,38.0
33,39.0
34,40.0
35,41.0
36,42.0
37,43.0
38,44.0
39,45.0
40,46.0
41,47.0
42,48.0
43,49.0
44,50.0
45,51.0
46,53.0
47,54.0
48,55.0
49,57.0
50,58.0
51,65.0
52,67.0
53,68.0
54,69.0
55,71.0
56,72.0
57,73.0
58,74.0
59,76.0
60,77.0
61,78.0
62,80.0
63,81.0
64,82.0
65,83.0
66,84.0
67,85.0
68,86.0
69,87.0
70,88.0
71,89.0
72,90.0
73,91.0
74,92.0
75,93.0
76,95.0
77,96.0
78,97.0
79,99.0
80,100.0
81,102.0
82,103.0
83,106.0
84,107.0
85,108.0
86,109.0
87,110.0
88,111.0
89,112.0
90,113.0
91,114.0
92,115.0
93,116.0
94,119.0
95,120.0
96,122.0
97,123.0
98,124.0
99,125.0
100,126.0
101,128.0
102,129.0
103,130.0
104,131.0
105,132.0
106,133.0
107,138.0
108,139.0
109,140.0
110,141.0
111,142.0
112,144.0
113,145.0
114,146.0
115,147.0
116,148.0
117,149.0
118,150.0
119,151.0
120,152.0
121,153.0
122,154.0
123,155.0
124,156.0
125,157.0
126,158.0
127,159.0
128,160.0
129,162.0
130,163.0
131,164.0
132,165.0
133,166.0
134,168.0
135,169.0
136,170.0
137,171.0
138,173.0
139,175.0
140,176.0
141,179.0
142,180.0
143,181.0
144,182.0
145,184.0
146,185.0
147,187.0
148,188.0
149,189.0
150,190.0
151,191.0
152,194.0
153,195.0
154,196.0
155,197.0
156,198.0
157,199.0
158,200.0
159,201.0
160,203.0
161,204.0
162,205.0
163,207.0
164,208.0
165,209.0
166,212.0
167,213.0
168,214.0
169,216.0
170,217.0
171,220.0
172,222.0
173,223.0
174,224.0
175,225.0
176,226.0
177,230.0
178,231.0
179,232.0
180,233.0
181,234.0
182,235.0
183,236.0
184,237.0
185,238.0
186,240.0
187,242.0
188,243.0
189,244.0
190,245.0
191,246.0
192,247.0
193,248.0
194,250.0
195,251.0
196,252.0
197,253.0
198,254.0
199,259.0
200,261.0
201,262.0
202,263.0
203,265.0
204,266.0
205,267.0
206,268.0
207,269.0
208,270.0
209,271.0
210,272.0
211,273.0
212,274.0
213,275.0
214,276.0
215,277.0
216,278.0
217,279.0
218,280.0
219,281.0
220,282.0
221,283.0
222,284.0
223,285.0
224,286.0
225,287.0
226,289.0
227,290.0
228,291.0
229,292.0
230,293.0
231,294.0
232,295.0
233,296.0
234,297.0
235,298.0
236,299.0
237,300.0
238,301.0
239,302.0
240,303.0
241,304.0
242,305.0
243,307.0
244,308.0
245,309.0
246,310.0
247,311.0
248,312.0
249,313.0
250,314.0
251,315.0
252,316.0
253,317.0
254,318.0
255,319.0
256,320.0
257,321.0
258,322.0
259,325.0
260,326.0
261,327.0
262,328.0
263,329.0
264,331.0
265,332.0
266,333.0
267,334.0
268,335.0
269,336.0
270,337.0
271,338.0
272,339.0
273,340.0
274,341.0
275,342.0
276,343.0
277,344.0
278,345.0
279,346.0
280,347.0
281,348.0
282,349.0
283,350.0
284,351.0
285,352.0
286,354.0
287,355.0
288,356.0
289,357.0
290,358.0
291,360.0
292,361.0
293,363.0
294,364.0
295,365.0
296,366.0
297,367.0
298,368.0
299,369.0
300,370.0
301,372.0
302,373.0
303,376.0
304,377.0
305,379.0
306,380.0
307,382.0
308,383.0
309,384.0
310,385.0
311,386.0
312,387.0
313,388.0
314,389.0
315,390.0
316,393.0
317,394.0
318,395.0
319,397.0
320,400.0
321,401.0
322,402.0
323,403.0
324,404.0
325,405.0
326,406.0
327,408.0
328,409.0
329,410.0
330,411.0
331,413.0
332,414.0
333,416.0
334,417.0
335,421.0
336,423.0
337,426.0
338,428.0
339,429.0
340,430.0
341,431.0
342,432.0
343,433.0
344,434.0
345,436.0
346,438.0
347,441.0
348,443.0
349,444.0
350,445.0
351,452.0
352,453.0
353,457.0
354,460.0
355,461.0
356,463.0
357,464.0
358,465.0
359,466.0
360,467.0
361,468.0
362,469.0
363,470.0
364,473.0
365,474.0
366,475.0
367,476.0
368,477.0
369,478.0
370,479.0
371,480.0
372,481.0
373,482.0
374,484.0
375,485.0
376,486.0
377,487.0
378,488.0
379,489.0
380,491.0
381,492.0
382,493.0
383,494.0
384,495.0
385,496.0
386,497.0
387,498.0
388,499.0
389,500.0
390,501.0
391,502.0
392,503.0
393,504.0
394,505.0
395,506.0
396,507.0
397,508.0
398,509.0
399,510.0
400,511.0
401,512.0
402,513.0
403,514.0
404,515.0
405,516.0
406,517.0
407,518.0
408,519.0
409,520.0
410,521.0
411,522.0
412,523.0
413,525.0
414,527.0
415,528.0
416,529.0
417,530.0
418,531.0
419,532.0
420,533.0
421,534.0
422,535.0
423,536.0
424,537.0
425,538.0
426,539.0
427,540.0
428,541.0
429,542.0
430,546.0
431,549.0
432,550.0
433,551.0
434,552.0
435,553.0
436,554.0
437,558.0
438,559.0
439,560.0
440,561.0
441,562.0
442,563.0
443,564.0
444,566.0
445,567.0
446,568.0
447,569.0
448,570.0
449,571.0
450,572.0
451,573.0
452,574.0
453,575.0
454,576.0
455,577.0
456,578.0
457,579.0
458,580.0
459,581.0
460,582.0
461,583.0
462,584.0
463,585.0
464,586.0
465,587.0
466,588.0
467,589.0
468,590.0
469,591.0
470,592.0
471,593.0
472,594.0
473,595.0
474,596.0
475,597.0
476,598.0
477,599.0
478,600.0
479,601.0
480,602.0
481,603.0
482,606.0
483,608.0
484,609.0
485,611.0
486,612.0
487,613.0
488,614.0
489,615.0
490,616.0
491,618.0
492,619.0
493,620.0
494,621.0
495,622.0
496,623.0
497,624.0
498,625.0
499,626.0
500,627.0
501,628.0
502,629.0
503,630.0
504,631.0
505,632.0
506,633.0
507,634.0
508,638.0
509,639.0
510,640.0
511,641.0
512,642.0
513,643.0
514,644.0
515,645.0
516,646.0
517,647.0
518,648.0
519,649.0
520,651.0
521,652.0
522,653.0
523,654.0
524,655.0
525,656.0
526,658.0
527,659.0
528,662.0
529,663.0
530,664.0
531,665.0
532,667.0
533,668.0
534,669.0
535,670.0
536,671.0
537,672.0
538,673.0
539,674.0
540,675.0
541,678.0
542,679.0
543,680.0
544,683.0
545,684.0
546,686.0
547,687.0
548,688.0
549,689.0
550,690.0
551,691.0
552,692.0
553,693.0
554,694.0
555,695.0
556,697.0
557,698.0
558,699.0
559,700.0
560,702.0
561,703.0
562,706.0
563,707.0
564,710.0
565,711.0
566,713.0
567,714.0
568,715.0
569,721.0
570,723.0
571,724.0
572,726.0
573,727.0
574,728.0
575,729.0
576,730.0
577,731.0
578,732.0
579,733.0
580,734.0
581,735.0
582,737.0
583,741.0
584,743.0
585,745.0
586,747.0
587,748.0
588,751.0
589,752.0
590,753.0
591,754.0
592,756.0
593,757.0
594,759.0
595,760.0
596,761.0
597,762.0
598,763.0
599,764.0
600,765.0
601,766.0
602,767.0
603,768.0
604,769.0
605,770.0
606,771.0
607,772.0
608,773.0
609,774.0
610,775.0
611,776.0
612,777.0
613,778.0
614,779.0
615,780.0
616,781.0
617,782.0
618,783.0
619,784.0
620,785.0
621,786.0
622,787.0
623,788.0
624,789.0
625,790.0
626,791.0
627,792.0
628,793.0
629,794.0
630,795.0
631,796.0
632,798.0
633,799.0
634,800.0
635,801.0
636,802.0
637,803.0
638,804.0
639,805.0
